claim_id,claim_amount,days_to_submit,previous_claims_count,customer_tenure,location_risk_score,claim_type,is_fraud
6252,4894.103585213381,10,2,7.339906172441321,0.4199947641755749,Life,0
4684,391.11194011234244,30,2,2.6883645213936207,0.412752260853643,Auto,0
1731,1675.4469471989476,18,1,8.002308173191672,0.5748029194246399,Health,0
4742,2435.346817498256,14,0,7.942149039383637,0.7002281696788083,Auto,0
4521,2999.9218604840776,46,1,7.98382455008998,0.6381000165897414,Property,0
6340,738.596772194129,45,1,5.738355946158387,0.42962796100311695,Property,0
576,2202.909727676757,19,2,8.01372402828206,0.5828901303624869,Life,0
5202,2250.8173255634383,46,2,3.241924230996438,0.4364502605178602,Life,0
6363,2903.553981750481,35,1,5.27385884170372,0.2902602511262302,Health,0
439,2123.6624787813653,59,1,3.018401889059316,0.7036670722931007,Life,0
2750,3753.214782956807,56,1,8.01145615291909,0.5263615561157878,Health,0
7487,2066.041649331499,42,3,9.584957883854727,0.6754155208276772,Auto,0
5272,284.9880593670133,12,1,7.364566789808876,0.7176746062596552,Property,0
5653,3148.4234928269607,34,0,7.617495965463819,0.19678112044993157,Property,0
3999,2292.5368176540705,47,2,8.797328870442477,0.2837965479472163,Health,0
6033,605.8797542162076,10,0,5.931110527979622,0.21094902703610072,Property,0
582,2751.9246646200963,24,1,9.567885070676681,0.7296442611536075,Property,0
9930,5207.87239408461,58,4,3.215434849405922,0.6855416449893925,Auto,1
7051,2726.2541913657938,55,3,6.167669249279117,0.5065928028526576,Life,0
8158,2278.710308501764,49,2,9.589056010891333,0.6291690792704274,Auto,0
9896,3756.651938668976,42,3,3.4439277668280166,0.60984821147351,Life,1
2249,3401.518150715258,32,1,2.2956902723960138,0.46349066517151927,Life,0
4640,2464.277543625925,17,0,4.397244792909706,0.38533185801435726,Health,0
9485,3363.0629254388105,51,2,9.638498657653653,0.33762809339441535,Auto,0
4947,0.2018315035971341,29,1,8.051758766741063,0.20209585425699994,Property,0
9920,2707.528483604889,59,2,1.8836662615281623,0.7063345989931481,Property,1
1963,3319.9242786173827,51,2,6.639561395907089,0.3522016606277278,Property,0
8243,3402.580985513284,14,1,6.772210621664345,0.7128586434194505,Life,0
6590,2136.815397923481,11,1,5.603693109848079,0.6798059401831829,Life,0
8847,2447.3959198808557,35,3,7.702283446302922,0.5357773610721513,Property,0
321,2734.446324042435,58,1,6.502404177495353,0.3982412920169348,Property,0
2678,1994.9597340822722,44,2,5.80822342291256,0.2156378529076023,Health,0
4625,3357.4029061378787,13,2,8.54335811483026,0.6790969616692654,Health,0
4949,3030.4758572473966,29,2,7.184653317495425,0.5908546169380144,Life,0
